"record_status","archive_id","archive_sha256","provider","basin_id","basin_name","field_id","field_name","well_id","well_name","wellbore_id","wellbore_name","branch_id","dependence_family_id","platform_id","campaign_id","identity_evidence","dependence_evidence","qualification_status","exclusion_reason_code","candidate_archive_identity_status","candidate_well_values","candidate_field_status","candidate_field_values","candidate_unit_ids","candidate_dependence_family_ids","principal_review_status","notes"
"ACTIVE","T0_GIPPSLAND_011","3d45f5b425b08cf5cab688339de96f65b43ad079f867861a3af8857e32e41535","NOPIMS","PENDING_BASIN_CONTEXT_VERIFICATION","Gippsland","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","UNKNOWN","UNKNOWN","0725_archive_identity_candidates_v2.csv","0725_dependence_family_candidates_v1.csv","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","","SINGLE_HEADER_WELL_CANDIDATE","HAIRTAIL-1","SINGLE_HEADER_FIELD_CANDIDATE","VIC/P70","UNITCAND_0037","FAMILYCAND_0026","TO_BE_REVIEWED","T0 relative path: P00712822.zip; T1a0 member_count=278; no entry stream opened; T1a1 safe_pass_members=2; all5_candidate_tokens=false"
"ACTIVE","T0_OTWAY_001","6c716f016f2df2e9770b0162fe71247f5ec386ffdb2433de3a191672080e3729","NOPIMS","PENDING_BASIN_CONTEXT_VERIFICATION","Otway","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","UNKNOWN","UNKNOWN","0725_archive_identity_candidates_v2.csv","0725_dependence_family_candidates_v1.csv","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","","SINGLE_HEADER_WELL_CANDIDATE","Annie-1","SINGLE_HEADER_FIELD_CANDIDATE","Annie","UNITCAND_0050","FAMILYCAND_0036","TO_BE_REVIEWED","T0 relative path: D00018987.zip; T1a0 member_count=101; no entry stream opened; T1a1 safe_pass_members=3; all5_candidate_tokens=false"
"ACTIVE","T0_OTWAY_002","0804f84cd3dd497d401973210ef2dc79420ae36493ae6e6b6896c8b56faa434d","NOPIMS","PENDING_BASIN_CONTEXT_VERIFICATION","Otway","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","UNKNOWN","UNKNOWN","0725_archive_identity_candidates_v2.csv","0725_dependence_family_candidates_v1.csv","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","","SINGLE_HEADER_WELL_CANDIDATE","Annie-1","MULTIPLE_HEADER_FIELD_CANDIDATES","Annie | Exploration | VIC-P44","UNITCAND_0051","FAMILYCAND_0036","TO_BE_REVIEWED","T0 relative path: D00018988.zip; T1a0 member_count=73; no entry stream opened; T1a1 safe_pass_members=18; all5_candidate_tokens=true"
"ACTIVE","T0_OTWAY_003","3a008f0abd2fcf3b3b701501f744795fdb3e606a1463e5b63ca5c7de531c764e","NOPIMS","PENDING_BASIN_CONTEXT_VERIFICATION","Otway","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","UNKNOWN","UNKNOWN","0725_archive_identity_candidates_v2.csv","0725_dependence_family_candidates_v1.csv","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","","SINGLE_HEADER_WELL_CANDIDATE","Geographe 5","SINGLE_HEADER_FIELD_CANDIDATE","Geographe","UNITCAND_0052","FAMILYCAND_0037","TO_BE_REVIEWED","T0 relative path: D00019996.zip; T1a0 member_count=8; no entry stream opened; T1a1 safe_pass_members=5; all5_candidate_tokens=true"
"ACTIVE","T0_OTWAY_004","fc7c2ff8d27fd7e15b7f7c7de7ea2f8648f513fa5bf536fe4259a843f6187958","NOPIMS","PENDING_BASIN_CONTEXT_VERIFICATION","Otway","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","UNKNOWN","UNKNOWN","0725_archive_identity_candidates_v2.csv","0725_dependence_family_candidates_v1.csv","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","","SINGLE_HEADER_WELL_CANDIDATE","Geographe 5","SINGLE_HEADER_FIELD_CANDIDATE","Geographe","UNITCAND_0053","FAMILYCAND_0037","TO_BE_REVIEWED","T0 relative path: D00019997.zip; T1a0 member_count=48; no entry stream opened; T1a1 safe_pass_members=3; all5_candidate_tokens=false"
"ACTIVE","T0_OTWAY_005","78a94e85b950d334d94d58a8789f1ec0c9a3f6e6631cfc5f301d8a513e0c71d7","NOPIMS","PENDING_BASIN_CONTEXT_VERIFICATION","Otway","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","UNKNOWN","UNKNOWN","0725_archive_identity_candidates_v2.csv","0725_dependence_family_candidates_v1.csv","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","","PATH_ONLY_REVIEW_REQUIRED","","NO_HEADER_FIELD_CANDIDATE","","UNITCAND_0054","FAMILYCAND_0038","TO_BE_REVIEWED","T0 relative path: D00019998.zip; T1a0 member_count=393; no entry stream opened; T1a1 safe_pass_members=0; all5_candidate_tokens=false"
"ACTIVE","T0_OTWAY_006","adcdf0aa67eb6c2c38573f9c5df7ccb298693db6cf72b4f6611173ad14f91e27","NOPIMS","PENDING_BASIN_CONTEXT_VERIFICATION","Otway","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","UNKNOWN","UNKNOWN","0725_archive_identity_candidates_v2.csv","0725_dependence_family_candidates_v1.csv","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","","SINGLE_HEADER_WELL_CANDIDATE","Geographe 4","SINGLE_HEADER_FIELD_CANDIDATE","Geographe","UNITCAND_0055","FAMILYCAND_0039","TO_BE_REVIEWED","T0 relative path: D00020000.zip; T1a0 member_count=65; no entry stream opened; T1a1 safe_pass_members=11; all5_candidate_tokens=true"
"ACTIVE","T0_OTWAY_007","e0fac072ed0ea36a98aa4d9e0333944ddfe7af5fac8ab5cd37eacc5288529063","NOPIMS","PENDING_BASIN_CONTEXT_VERIFICATION","Otway","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","UNKNOWN","UNKNOWN","0725_archive_identity_candidates_v2.csv","0725_dependence_family_candidates_v1.csv","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","","PATH_ONLY_REVIEW_REQUIRED","","NO_HEADER_FIELD_CANDIDATE","","UNITCAND_0056","FAMILYCAND_0040","TO_BE_REVIEWED","T0 relative path: D00020001.zip; T1a0 member_count=336; no entry stream opened; T1a1 safe_pass_members=0; all5_candidate_tokens=false"
"ACTIVE","T0_OTWAY_008","4a375650fca8e9bacbc09656cc0715cddb541a9fb922b5197a52ed0aa5104867","NOPIMS","PENDING_BASIN_CONTEXT_VERIFICATION","Otway","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","UNKNOWN","UNKNOWN","0725_archive_identity_candidates_v2.csv","0725_dependence_family_candidates_v1.csv","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","","SINGLE_HEADER_WELL_CANDIDATE","Thylacine North 1","SINGLE_HEADER_FIELD_CANDIDATE","Thylacine","UNITCAND_0057","FAMILYCAND_0041","TO_BE_REVIEWED","T0 relative path: D00020052.zip; T1a0 member_count=35; no entry stream opened; T1a1 safe_pass_members=6; all5_candidate_tokens=true"
"ACTIVE","T0_OTWAY_009","21849ba220f393029cb57fb0687347f42656fd1acb018fdd013e5b3faf94a4ae","NOPIMS","PENDING_BASIN_CONTEXT_VERIFICATION","Otway","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","UNKNOWN","UNKNOWN","0725_archive_identity_candidates_v2.csv","0725_dependence_family_candidates_v1.csv","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","","PATH_ONLY_REVIEW_REQUIRED","","NO_HEADER_FIELD_CANDIDATE","","UNITCAND_0058","FAMILYCAND_0042","TO_BE_REVIEWED","T0 relative path: D00020053.zip; T1a0 member_count=204; no entry stream opened; T1a1 safe_pass_members=0; all5_candidate_tokens=false"
"ACTIVE","T0_OTWAY_010","36c0b6d7c9639145f72b57f339fdebac7def224ed34c4673d96ed9a687a2513f","NOPIMS","PENDING_BASIN_CONTEXT_VERIFICATION","Otway","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","UNKNOWN","UNKNOWN","0725_archive_identity_candidates_v2.csv","0725_dependence_family_candidates_v1.csv","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","","PATH_ONLY_REVIEW_REQUIRED","","NO_HEADER_FIELD_CANDIDATE","","UNITCAND_0059","FAMILYCAND_0043","TO_BE_REVIEWED","T0 relative path: I00015002.zip; T1a0 member_count=10; no entry stream opened; T1a1 safe_pass_members=0; all5_candidate_tokens=false"
"ACTIVE","T0_OTWAY_011","d0fb145e8fa297e6639c257557636c1a6c0ef49dc6f15b2245f1155c607fe55e","NOPIMS","PENDING_BASIN_CONTEXT_VERIFICATION","Otway","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","UNKNOWN","UNKNOWN","0725_archive_identity_candidates_v2.csv","0725_dependence_family_candidates_v1.csv","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","","SINGLE_HEADER_WELL_CANDIDATE","Thistle-1 | Thistle 1","SINGLE_HEADER_FIELD_CANDIDATE","Thistle","UNITCAND_0060","FAMILYCAND_0044","TO_BE_REVIEWED","T0 relative path: P00523860.zip; T1a0 member_count=153; no entry stream opened; T1a1 safe_pass_members=64; all5_candidate_tokens=true"
"ACTIVE","T0_OTWAY_012","5fb0eb4cc2d8828a26c393e550976eab4b63456b2410663e878e7aef6e48c497","NOPIMS","PENDING_BASIN_CONTEXT_VERIFICATION","Otway","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","UNKNOWN","UNKNOWN","0725_archive_identity_candidates_v2.csv","0725_dependence_family_candidates_v1.csv","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","","SINGLE_HEADER_WELL_CANDIDATE","Pecten East 1","MULTIPLE_HEADER_FIELD_CANDIDATES","Gas / Oil Exploration | Otway","UNITCAND_0061","FAMILYCAND_0045","TO_BE_REVIEWED","T0 relative path: P00635720.zip; T1a0 member_count=207; no entry stream opened; T1a1 safe_pass_members=9; all5_candidate_tokens=false"
