source_file,segment_id,unique_MD_points,MD_start_m,MD_end_m,MD_span_m,meets_two_point_minimum
USROP_A 3 N-SH-F-15d.csv,13,37,2172.005,2174.132,2.1269999999999527,true
USROP_A 3 N-SH-F-15d.csv,14,9,2176.577,2176.857,0.27999999999974534,true
USROP_A 3 N-SH-F-15d.csv,15,9,2221.745,2221.986,0.24099999999998545,true
USROP_A 3 N-SH-F-15d.csv,16,57,2237.384,2238.75,1.3659999999999854,true
USROP_A 3 N-SH-F-15d.csv,17,48,2261.616,2264.195,2.5790000000001783,true
USROP_A 3 N-SH-F-15d.csv,18,53,2306.291,2308.665,2.3739999999997963,true
USROP_A 3 N-SH-F-15d.csv,19,157,2312.975,2316.001,3.0260000000002947,true
USROP_A 3 N-SH-F-15d.csv,20,31,2336.292,2338.416,2.124000000000251,true
USROP_A 3 N-SH-F-15d.csv,21,36,2351.572,2354.001,2.4290000000000873,true
USROP_A 3 N-SH-F-15d.csv,22,16,2356.104,2358.536,2.4320000000002437,true
USROP_A 3 N-SH-F-15d.csv,23,23,2379.726,2381.68,1.9539999999997235,true
USROP_A 3 N-SH-F-15d.csv,24,29,2397.572,2399.02,1.4479999999998654,true
USROP_A 3 N-SH-F-15d.csv,25,223,2415.235,2422.386,7.15099999999984,true
USROP_A 3 N-SH-F-15d.csv,26,23,2441.143,2441.89,0.7469999999998436,true
USROP_A 3 N-SH-F-15d.csv,27,11,2442.972,2444.045,1.0729999999998654,true
USROP_A 3 N-SH-F-15d.csv,28,20,2489.302,2490.813,1.5109999999999673,true
USROP_A 3 N-SH-F-15d.csv,29,30,2535.174,2537.0,1.8260000000000218,true
USROP_A 3 N-SH-F-15d.csv,30,46,2539.606,2541.419,1.8129999999996471,true
USROP_A 3 N-SH-F-15d.csv,31,9,2570.226,2570.369,0.1430000000000291,true
USROP_A 3 N-SH-F-15d.csv,32,894,2604.15,2637.248,33.097999999999956,true
USROP_A 3 N-SH-F-15d.csv,33,840,2638.501,2674.282,35.78099999999995,true
USROP_A 3 N-SH-F-15d.csv,34,7382,2675.8390000000004,2950.769,274.9299999999994,true
USROP_A 3 N-SH-F-15d.csv,35,6193,2951.836,3150.078,198.2420000000002,true
USROP_A 3 N-SH-F-15d.csv,36,127,3159.557,3162.129000000001,2.572000000001026,true
USROP_A 3 N-SH-F-15d.csv,37,351,3167.177,3174.611,7.433999999999742,true
USROP_A 3 N-SH-F-15d.csv,38,5120,3175.711,3350.538,174.82700000000023,true
USROP_A 3 N-SH-F-15d.csv,39,11843,3517.035,4065.346,548.3110000000001,true
USROP_A 4 N-SH_F-15Sd.csv,1,266,1400.55,1417.32,16.769999999999982,true
USROP_A 4 N-SH_F-15Sd.csv,2,9,1418.539,1420.6729999999998,2.133999999999787,true
USROP_A 4 N-SH_F-15Sd.csv,3,16839,1432.011,2431.694,999.683,true
USROP_A 4 N-SH_F-15Sd.csv,4,62,2434.529,2449.681,15.152000000000044,true
USROP_A 4 N-SH_F-15Sd.csv,5,116,2451.052,2472.08,21.027999999999793,true
USROP_A 4 N-SH_F-15Sd.csv,6,5,2473.3,2474.366,1.0659999999998035,true
USROP_A 4 N-SH_F-15Sd.csv,7,27,2475.433,2482.444,7.010999999999967,true
USROP_A 4 N-SH_F-15Sd.csv,8,6,2483.51,2485.187,1.6769999999996799,true
USROP_A 4 N-SH_F-15Sd.csv,9,729,2486.406,2542.815,56.409000000000106,true
USROP_A 4 N-SH_F-15Sd.csv,10,2,2552.2,2552.228,0.028000000000247383,true
USROP_A 4 N-SH_F-15Sd.csv,11,134,2554.556,2563.341,8.784999999999854,true
USROP_A 4 N-SH_F-15Sd.csv,12,512,2577.694,2608.439,30.74499999999989,true
USROP_A 4 N-SH_F-15Sd.csv,13,17,2609.698,2611.999,2.300999999999931,true
USROP_A 4 N-SH_F-15Sd.csv,14,3,2616.001,2617.001,1.0,true
USROP_A 4 N-SH_F-15Sd.csv,15,3,2619.015,2620.009,0.9940000000001419,true
USROP_A 4 N-SH_F-15Sd.csv,16,24,2621.067,2626.114,5.0470000000000255,true
USROP_A 4 N-SH_F-15Sd.csv,17,58,2627.708,2632.664,4.956000000000131,true
USROP_A 4 N-SH_F-15Sd.csv,18,12,2633.929,2635.136,1.20699999999988,true
USROP_A 4 N-SH_F-15Sd.csv,19,518,2636.587,2672.9440000000004,36.357000000000426,true
USROP_A 4 N-SH_F-15Sd.csv,20,41,2675.976,2679.6220000000003,3.6460000000001855,true
USROP_A 4 N-SH_F-15Sd.csv,21,6,2680.868,2681.365,0.49699999999984357,true
USROP_A 4 N-SH_F-15Sd.csv,22,2,2688.2540000000004,2688.309,0.05499999999983629,true
USROP_A 4 N-SH_F-15Sd.csv,23,74,2689.555,2698.123,8.568000000000211,true
USROP_A 4 N-SH_F-15Sd.csv,24,5,2701.138,2701.531,0.3930000000000291,true
USROP_A 4 N-SH_F-15Sd.csv,25,154,2702.6620000000003,2713.893,11.230999999999767,true
USROP_A 4 N-SH_F-15Sd.csv,26,88,2717.761,2723.275,5.514000000000124,true
USROP_A 4 N-SH_F-15Sd.csv,27,6,2736.647,2737.448,0.8009999999999309,true
USROP_A 4 N-SH_F-15Sd.csv,28,5,2762.0,2762.3540000000003,0.3540000000002692,true
USROP_A 4 N-SH_F-15Sd.csv,29,2,2766.685,2766.795,0.11000000000012733,true
USROP_A 4 N-SH_F-15Sd.csv,30,62,2775.509,2784.001,8.49200000000019,true
USROP_A 4 N-SH_F-15Sd.csv,31,49,2794.1020000000003,2798.335,4.23299999999972,true
USROP_A 4 N-SH_F-15Sd.csv,32,4,2802.026,2802.3190000000004,0.2930000000005748,true
USROP_A 4 N-SH_F-15Sd.csv,33,90,2804.791,2810.0,5.208999999999833,true
USROP_A 4 N-SH_F-15Sd.csv,34,56,2813.639,2818.556,4.916999999999916,true
USROP_A 4 N-SH_F-15Sd.csv,35,6,2820.9240000000004,2821.381,0.4569999999994252,true
USROP_A 4 N-SH_F-15Sd.csv,36,44,2824.7340000000004,2830.26,5.52599999999984,true
USROP_A 4 N-SH_F-15Sd.csv,37,83,2842.26,2847.9990000000003,5.739000000000033,true
USROP_A 4 N-SH_F-15Sd.csv,38,55,2850.042,2854.336,4.293999999999869,true
USROP_A 4 N-SH_F-15Sd.csv,39,6,2856.738,2857.015,0.27700000000004366,true
USROP_A 4 N-SH_F-15Sd.csv,40,57,2860.853,2866.927,6.074000000000069,true
USROP_A 4 N-SH_F-15Sd.csv,41,40,2868.293,2872.563,4.269999999999982,true
USROP_A 4 N-SH_F-15Sd.csv,42,5,2879.446,2880.0,0.5540000000000873,true
USROP_A 4 N-SH_F-15Sd.csv,43,15615,2882.652,3570.241,687.5889999999999,true
USROP_A 4 N-SH_F-15Sd.csv,44,2847,3581.857,3652.842,70.98500000000013,true
USROP_A 4 N-SH_F-15Sd.csv,45,12964,3662.324,4090.001,427.67700000000013,true
USROP_A 5 N-SH-F-5d.csv,1,401,2828.239,2875.94,47.70100000000002,true
USROP_A 5 N-SH-F-5d.csv,2,7,2877.007,2877.922,0.9149999999999636,true
USROP_A 5 N-SH-F-5d.csv,3,25,2880.0,2881.951,1.9510000000000218,true
USROP_A 5 N-SH-F-5d.csv,4,4890,2883.0,3037.972,154.9720000000002,true
USROP_A 5 N-SH-F-5d.csv,5,34,3047.043,3048.994,1.9510000000000218,true
USROP_A 5 N-SH-F-5d.csv,6,274,3061.9990000000003,3077.9709999999995,15.971999999999298,true
USROP_A 5 N-SH-F-5d.csv,7,16,3080.001,3080.992,0.9909999999999854,true
USROP_A 5 N-SH-F-5d.csv,8,75,3085.9990000000003,3089.968,3.968999999999596,true
USROP_A 5 N-SH-F-5d.csv,9,252,3107.131,3116.9240000000004,9.793000000000575,true
USROP_A 5 N-SH-F-5d.csv,10,240,3156.0,3168.966,12.965999999999894,true
USROP_A 5 N-SH-F-5d.csv,11,269,3182.085,3185.9770000000003,3.89200000000028,true
USROP_A 5 N-SH-F-5d.csv,12,60,3197.011,3197.983,0.9720000000002074,true
USROP_A 5 N-SH-F-5d.csv,13,23,3224.001,3224.936,0.9349999999999454,true
USROP_A 5 N-SH-F-5d.csv,14,328,3230.9990000000003,3237.988,6.988999999999578,true
USROP_A 5 N-SH-F-5d.csv,15,52,3241.9990000000003,3242.981,0.9819999999999709,true
USROP_A 5 N-SH-F-5d.csv,16,66,3243.9990000000003,3244.992,0.9929999999999382,true
USROP_A 5 N-SH-F-5d.csv,17,601,3258.001,3267.995,9.993999999999687,true
USROP_A 5 N-SH-F-5d.csv,18,134,3276.9990000000003,3279.974,2.974999999999909,true
USROP_A 5 N-SH-F-5d.csv,19,10683,3293.001,3788.99,495.9889999999996,true
USROP_A 5 N-SH-F-5d.csv,20,118,3789.999,3792.2,2.201000000000022,true
USROP_A 6 N-SH_F-9d.csv,1,2455,225.171,320.954,95.78300000000002,true
USROP_A 6 N-SH_F-9d.csv,2,14,322.0,322.936,0.9359999999999786,true
USROP_A 6 N-SH_F-9d.csv,3,3259,324.999,515.981,190.98199999999997,true
USROP_A 6 N-SH_F-9d.csv,4,694,519.001,555.9580000000001,36.95700000000011,true
USROP_A 6 N-SH_F-9d.csv,5,645,563.039,596.9780000000001,33.93900000000008,true
USROP_A 6 N-SH_F-9d.csv,6,784,597.999,633.536,35.53699999999992,true
